onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.339	0	L220	2	2	STIM_LOGO
3.339	5	L220	2	2	RETENTION_LOGO
8.339	0	L220	NaN	NaN	VERBALRESP_LOGO
12.142	0	L220	NaN	NaN	KEYRESP_LOGO
15.356	0	L365	2	1	STIM_LOGO
16.356	5	L365	2	1	RETENTION_LOGO
21.356	0	L365	NaN	NaN	VERBALRESP_LOGO
25.105	0	L365	NaN	NaN	KEYRESP_LOGO
30.373	0	L289	1	2	STIM_LOGO
31.373	5	L289	1	2	RETENTION_LOGO
36.373	0	L289	NaN	NaN	VERBALRESP_LOGO
39.851	0	L289	NaN	NaN	KEYRESP_LOGO
46.373	0	L258	0	1	STIM_LOGO
47.373	5	L258	0	1	RETENTION_LOGO
52.373	0	L258	NaN	NaN	VERBALRESP_LOGO
55.962	0	L258	NaN	NaN	KEYRESP_LOGO
62.373	0	L77	0	1	STIM_LOGO
63.373	5	L77	0	1	RETENTION_LOGO
68.373	0	L77	NaN	NaN	VERBALRESP_LOGO
71.921	0	L77	NaN	NaN	KEYRESP_LOGO
75.373	0	L51	0	1	STIM_LOGO
76.373	5	L51	0	1	RETENTION_LOGO
81.373	0	L51	NaN	NaN	VERBALRESP_LOGO
85.091	0	L51	NaN	NaN	KEYRESP_LOGO
93.373	0	L373	0	1	STIM_LOGO
94.373	5	L373	0	1	RETENTION_LOGO
99.373	0	L373	NaN	NaN	VERBALRESP_LOGO
103.461	0	L373	NaN	NaN	KEYRESP_LOGO
105.373	0	L194	1	2	STIM_LOGO
106.373	5	L194	1	2	RETENTION_LOGO
111.373	0	L194	NaN	NaN	VERBALRESP_LOGO
114.967	0	L194	NaN	NaN	KEYRESP_LOGO
118.373	0	L156	0	1	STIM_LOGO
119.373	5	L156	0	1	RETENTION_LOGO
124.373	0	L156	NaN	NaN	VERBALRESP_LOGO
127.899	0	L156	NaN	NaN	KEYRESP_LOGO
132.373	0	L135	1	1	STIM_LOGO
133.373	5	L135	1	1	RETENTION_LOGO
138.373	0	L135	NaN	NaN	VERBALRESP_LOGO
141.835	0	L135	NaN	NaN	KEYRESP_LOGO
149.373	0	L4	1	2	STIM_LOGO
150.373	5	L4	1	2	RETENTION_LOGO
155.373	0	L4	NaN	NaN	VERBALRESP_LOGO
158.936	0	L4	NaN	NaN	KEYRESP_LOGO
161.373	0	L278	0	1	STIM_LOGO
162.373	5	L278	0	1	RETENTION_LOGO
167.373	0	L278	NaN	NaN	VERBALRESP_LOGO
170.819	0	L278	NaN	NaN	KEYRESP_LOGO
176.373	0	L193	0	2	STIM_LOGO
177.373	5	L193	0	2	RETENTION_LOGO
182.373	0	L193	NaN	NaN	VERBALRESP_LOGO
186.196	0	L193	NaN	NaN	KEYRESP_LOGO
195.373	0	L79	2	2	STIM_LOGO
196.373	5	L79	2	2	RETENTION_LOGO
201.373	0	L79	NaN	NaN	VERBALRESP_LOGO
204.867	0	L79	NaN	NaN	KEYRESP_LOGO
210.373	0	L395	0	1	STIM_LOGO
211.373	5	L395	0	1	RETENTION_LOGO
216.373	0	L395	NaN	NaN	VERBALRESP_LOGO
220.239	0	L395	NaN	NaN	KEYRESP_LOGO
225.373	0	L37	0	1	STIM_LOGO
226.373	5	L37	0	1	RETENTION_LOGO
231.373	0	L37	NaN	NaN	VERBALRESP_LOGO
235.182	0	L37	NaN	NaN	KEYRESP_LOGO
241.373	0	L133	0	1	STIM_LOGO
242.373	5	L133	0	1	RETENTION_LOGO
247.373	0	L133	NaN	NaN	VERBALRESP_LOGO
251.362	0	L133	NaN	NaN	KEYRESP_LOGO
254.373	0	L431	0	1	STIM_LOGO
255.373	5	L431	0	1	RETENTION_LOGO
260.374	0	L431	NaN	NaN	VERBALRESP_LOGO
264.101	0	L431	NaN	NaN	KEYRESP_LOGO
273.374	0	L191	0	1	STIM_LOGO
274.374	5	L191	0	1	RETENTION_LOGO
279.374	0	L191	NaN	NaN	VERBALRESP_LOGO
283.187	0	L191	NaN	NaN	KEYRESP_LOGO
286.374	0	L414	0	1	STIM_LOGO
287.374	5	L414	0	1	RETENTION_LOGO
292.374	0	L414	NaN	NaN	VERBALRESP_LOGO
295.89	0	L414	NaN	NaN	KEYRESP_LOGO
298.374	0	L87	1	1	STIM_LOGO
299.374	5	L87	1	1	RETENTION_LOGO
304.374	0	L87	NaN	NaN	VERBALRESP_LOGO
308.027	0	L87	NaN	NaN	KEYRESP_LOGO
315.374	0	L360	1	2	STIM_LOGO
316.374	5	L360	1	2	RETENTION_LOGO
321.374	0	L360	NaN	NaN	VERBALRESP_LOGO
325.103	0	L360	NaN	NaN	KEYRESP_LOGO
328.374	0	L407	0	1	STIM_LOGO
329.374	5	L407	0	1	RETENTION_LOGO
334.374	0	L407	NaN	NaN	VERBALRESP_LOGO
337.954	0	L407	NaN	NaN	KEYRESP_LOGO
342.374	0	L272	1	2	STIM_LOGO
343.374	5	L272	1	2	RETENTION_LOGO
348.374	0	L272	NaN	NaN	VERBALRESP_LOGO
351.958	0	L272	NaN	NaN	KEYRESP_LOGO
355.374	0	L119	0	1	STIM_LOGO
356.374	5	L119	0	1	RETENTION_LOGO
361.374	0	L119	NaN	NaN	VERBALRESP_LOGO
365.264	0	L119	NaN	NaN	KEYRESP_LOGO
371.374	0	L250	0	1	STIM_LOGO
372.374	5	L250	0	1	RETENTION_LOGO
377.374	0	L250	NaN	NaN	VERBALRESP_LOGO
381.316	0	L250	NaN	NaN	KEYRESP_LOGO
383.374	0	L338	1	2	STIM_LOGO
384.374	5	L338	1	2	RETENTION_LOGO
389.374	0	L338	NaN	NaN	VERBALRESP_LOGO
392.966	0	L338	NaN	NaN	KEYRESP_LOGO
397.374	0	L402	1	2	STIM_LOGO
398.374	5	L402	1	2	RETENTION_LOGO
403.374	0	L402	NaN	NaN	VERBALRESP_LOGO
407.32	0	L402	NaN	NaN	KEYRESP_LOGO
411.374	0	L105	0	1	STIM_LOGO
412.374	5	L105	0	1	RETENTION_LOGO
417.374	0	L105	NaN	NaN	VERBALRESP_LOGO
421.098	0	L105	NaN	NaN	KEYRESP_LOGO
425.374	0	L63	0	1	STIM_LOGO
426.374	5	L63	0	1	RETENTION_LOGO
431.374	0	L63	NaN	NaN	VERBALRESP_LOGO
435.029	0	L63	NaN	NaN	KEYRESP_LOGO
438.374	0	L321	1	2	STIM_LOGO
439.374	5	L321	1	2	RETENTION_LOGO
444.374	0	L321	NaN	NaN	VERBALRESP_LOGO
448.482	0	L321	NaN	NaN	KEYRESP_LOGO
453.391	0	L425	0	1	STIM_LOGO
454.391	5	L425	0	1	RETENTION_LOGO
459.391	0	L425	NaN	NaN	VERBALRESP_LOGO
463.31	0	L425	NaN	NaN	KEYRESP_LOGO
467.408	0	L75	2	1	STIM_LOGO
468.408	5	L75	2	1	RETENTION_LOGO
473.408	0	L75	NaN	NaN	VERBALRESP_LOGO
476.892	0	L75	NaN	NaN	KEYRESP_LOGO
485.408	0	L310	1	2	STIM_LOGO
486.408	5	L310	1	2	RETENTION_LOGO
491.408	0	L310	NaN	NaN	VERBALRESP_LOGO
495.227	0	L310	NaN	NaN	KEYRESP_LOGO
503.408	0	L240	1	2	STIM_LOGO
504.408	5	L240	1	2	RETENTION_LOGO
509.408	0	L240	NaN	NaN	VERBALRESP_LOGO
513.422	0	L240	NaN	NaN	KEYRESP_LOGO
519.408	0	L86	1	2	STIM_LOGO
520.408	5	L86	1	2	RETENTION_LOGO
525.408	0	L86	NaN	NaN	VERBALRESP_LOGO
529.435	0	L86	NaN	NaN	KEYRESP_LOGO
531.408	0	L356	0	1	STIM_LOGO
532.408	5	L356	0	1	RETENTION_LOGO
537.408	0	L356	NaN	NaN	VERBALRESP_LOGO
541.148	0	L356	NaN	NaN	KEYRESP_LOGO
550.408	0	L381	1	2	STIM_LOGO
551.408	5	L381	1	2	RETENTION_LOGO
556.408	0	L381	NaN	NaN	VERBALRESP_LOGO
560.036	0	L381	NaN	NaN	KEYRESP_LOGO
567.408	0	L178	0	1	STIM_LOGO
568.408	5	L178	0	1	RETENTION_LOGO
573.408	0	L178	NaN	NaN	VERBALRESP_LOGO
576.853	0	L178	NaN	NaN	KEYRESP_LOGO
584.408	0	L328	0	1	STIM_LOGO
585.408	5	L328	0	1	RETENTION_LOGO
590.408	0	L328	NaN	NaN	VERBALRESP_LOGO
594.08	0	L328	NaN	NaN	KEYRESP_LOGO
602.408	0	L99	0	1	STIM_LOGO
603.408	5	L99	0	1	RETENTION_LOGO
608.408	0	L99	NaN	NaN	VERBALRESP_LOGO
611.851	0	L99	NaN	NaN	KEYRESP_LOGO
619.408	0	L424	0	1	STIM_LOGO
620.408	5	L424	0	1	RETENTION_LOGO
625.408	0	L424	NaN	NaN	VERBALRESP_LOGO
629.028	0	L424	NaN	NaN	KEYRESP_LOGO
631.408	0	L5	1	2	STIM_LOGO
632.408	5	L5	1	2	RETENTION_LOGO
637.408	0	L5	NaN	NaN	VERBALRESP_LOGO
640.882	0	L5	NaN	NaN	KEYRESP_LOGO
644.408	0	L160	0	1	STIM_LOGO
645.408	5	L160	0	1	RETENTION_LOGO
650.408	0	L160	NaN	NaN	VERBALRESP_LOGO
653.989	0	L160	NaN	NaN	KEYRESP_LOGO
660.408	0	L416	1	2	STIM_LOGO
661.408	5	L416	1	2	RETENTION_LOGO
666.408	0	L416	NaN	NaN	VERBALRESP_LOGO
669.916	0	L416	NaN	NaN	KEYRESP_LOGO
677.408	0	L46	0	1	STIM_LOGO
678.408	5	L46	0	1	RETENTION_LOGO
683.409	0	L46	NaN	NaN	VERBALRESP_LOGO
687.311	0	L46	NaN	NaN	KEYRESP_LOGO
692.408	0	L33	0	1	STIM_LOGO
693.409	5	L33	0	1	RETENTION_LOGO
698.409	0	L33	NaN	NaN	VERBALRESP_LOGO
702.409	0	L33	NaN	NaN	KEYRESP_LOGO
704.409	0	L124	0	1	STIM_LOGO
705.409	5	L124	0	1	RETENTION_LOGO
710.409	0	L124	NaN	NaN	VERBALRESP_LOGO
714.039	0	L124	NaN	NaN	KEYRESP_LOGO
723.409	0	L281	0	1	STIM_LOGO
724.409	5	L281	0	1	RETENTION_LOGO
729.409	0	L281	NaN	NaN	VERBALRESP_LOGO
733.149	0	L281	NaN	NaN	KEYRESP_LOGO
735.409	0	L50	0	1	STIM_LOGO
736.409	5	L50	0	1	RETENTION_LOGO
741.409	0	L50	NaN	NaN	VERBALRESP_LOGO
745.077	0	L50	NaN	NaN	KEYRESP_LOGO
747.077	8	NaN	NaN	NaN	BREAK
756.409	0	L220	NaN	2	STIM_BRAND
757.409	5	L220	NaN	2	RETENTION_BRAND
763.266	0	L220	NaN	NaN	KEYRESP_BRAND
766.409	0	L365	NaN	2	STIM_BRAND
767.409	5	L365	NaN	2	RETENTION_BRAND
773.106	0	L365	NaN	NaN	KEYRESP_BRAND
776.409	0	L289	NaN	2	STIM_BRAND
777.409	5	L289	NaN	2	RETENTION_BRAND
783.354	0	L289	NaN	NaN	KEYRESP_BRAND
785.909	0	L105	NaN	2	STIM_BRAND
786.909	5	L105	NaN	2	RETENTION_BRAND
792.986	0	L105	NaN	NaN	KEYRESP_BRAND
794.909	0	L258	NaN	1	STIM_BRAND
795.909	5	L258	NaN	1	RETENTION_BRAND
801.41	0	L258	NaN	NaN	KEYRESP_BRAND
804.909	0	L46	NaN	2	STIM_BRAND
805.909	5	L46	NaN	2	RETENTION_BRAND
811.598	0	L46	NaN	NaN	KEYRESP_BRAND
813.909	0	L77	NaN	1	STIM_BRAND
814.909	5	L77	NaN	1	RETENTION_BRAND
820.556	0	L77	NaN	NaN	KEYRESP_BRAND
823.909	0	L431	NaN	1	STIM_BRAND
824.909	5	L431	NaN	1	RETENTION_BRAND
830.588	0	L431	NaN	NaN	KEYRESP_BRAND
833.409	0	L119	NaN	1	STIM_BRAND
834.409	5	L119	NaN	1	RETENTION_BRAND
840.498	0	L119	NaN	NaN	KEYRESP_BRAND
843.409	0	L50	NaN	2	STIM_BRAND
844.409	5	L50	NaN	2	RETENTION_BRAND
851.329	0	L50	NaN	NaN	KEYRESP_BRAND
852.409	0	L133	NaN	1	STIM_BRAND
853.409	5	L133	NaN	1	RETENTION_BRAND
859.112	0	L133	NaN	NaN	KEYRESP_BRAND
861.909	0	L310	NaN	2	STIM_BRAND
862.909	5	L310	NaN	2	RETENTION_BRAND
868.691	0	L310	NaN	NaN	KEYRESP_BRAND
871.909	0	L63	NaN	1	STIM_BRAND
872.909	5	L63	NaN	1	RETENTION_BRAND
878.514	0	L63	NaN	NaN	KEYRESP_BRAND
880.909	0	L360	NaN	2	STIM_BRAND
881.909	5	L360	NaN	2	RETENTION_BRAND
887.796	0	L360	NaN	NaN	KEYRESP_BRAND
889.909	0	L5	NaN	2	STIM_BRAND
890.909	5	L5	NaN	2	RETENTION_BRAND
896.849	0	L5	NaN	NaN	KEYRESP_BRAND
898.909	0	L250	NaN	1	STIM_BRAND
899.909	5	L250	NaN	1	RETENTION_BRAND
905.575	0	L250	NaN	NaN	KEYRESP_BRAND
908.409	0	L407	NaN	2	STIM_BRAND
909.409	5	L407	NaN	2	RETENTION_BRAND
915.249	0	L407	NaN	NaN	KEYRESP_BRAND
917.409	0	L86	NaN	2	STIM_BRAND
918.409	5	L86	NaN	2	RETENTION_BRAND
924.27	0	L86	NaN	NaN	KEYRESP_BRAND
927.409	0	L356	NaN	2	STIM_BRAND
928.409	5	L356	NaN	2	RETENTION_BRAND
934.319	0	L356	NaN	NaN	KEYRESP_BRAND
936.909	0	L87	NaN	1	STIM_BRAND
937.909	5	L87	NaN	1	RETENTION_BRAND
943.487	0	L87	NaN	NaN	KEYRESP_BRAND
946.409	0	L75	NaN	1	STIM_BRAND
947.409	5	L75	NaN	1	RETENTION_BRAND
953.136	0	L75	NaN	NaN	KEYRESP_BRAND
956.409	0	L99	NaN	1	STIM_BRAND
957.409	5	L99	NaN	1	RETENTION_BRAND
962.99	0	L99	NaN	NaN	KEYRESP_BRAND
965.91	0	L278	NaN	2	STIM_BRAND
966.91	5	L278	NaN	2	RETENTION_BRAND
972.768	0	L278	NaN	NaN	KEYRESP_BRAND
974.91	0	L178	NaN	1	STIM_BRAND
975.91	5	L178	NaN	1	RETENTION_BRAND
981.615	0	L178	NaN	NaN	KEYRESP_BRAND
