onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.043	0	L205	2	2	STIM_LOGO
3.043	5	L205	2	2	RETENTION_LOGO
8.043	0	L205	NaN	NaN	VERBALRESP_LOGO
11.468	0	L205	NaN	NaN	KEYRESP_LOGO
15.043	0	L2	2	2	STIM_LOGO
16.043	5	L2	2	2	RETENTION_LOGO
21.043	0	L2	NaN	NaN	VERBALRESP_LOGO
24.528	0	L2	NaN	NaN	KEYRESP_LOGO
32.043	0	L238	0	2	STIM_LOGO
33.043	5	L238	0	2	RETENTION_LOGO
38.043	0	L238	NaN	NaN	VERBALRESP_LOGO
41.59	0	L238	NaN	NaN	KEYRESP_LOGO
47.043	0	L113	1	2	STIM_LOGO
48.043	5	L113	1	2	RETENTION_LOGO
53.043	0	L113	NaN	NaN	VERBALRESP_LOGO
56.494	0	L113	NaN	NaN	KEYRESP_LOGO
62.043	0	L139	0	2	STIM_LOGO
63.043	5	L139	0	2	RETENTION_LOGO
68.043	0	L139	NaN	NaN	VERBALRESP_LOGO
71.494	0	L139	NaN	NaN	KEYRESP_LOGO
81.043	0	L407	1	2	STIM_LOGO
82.043	5	L407	1	2	RETENTION_LOGO
87.043	0	L407	NaN	NaN	VERBALRESP_LOGO
90.545	0	L407	NaN	NaN	KEYRESP_LOGO
99.043	0	L379	0	2	STIM_LOGO
100.043	5	L379	0	2	RETENTION_LOGO
105.043	0	L379	NaN	NaN	VERBALRESP_LOGO
108.96	0	L379	NaN	NaN	KEYRESP_LOGO
112.043	0	L33	1	2	STIM_LOGO
113.043	5	L33	1	2	RETENTION_LOGO
118.043	0	L33	NaN	NaN	VERBALRESP_LOGO
121.878	0	L33	NaN	NaN	KEYRESP_LOGO
130.06	0	L418	1	2	STIM_LOGO
131.06	5	L418	1	2	RETENTION_LOGO
136.06	0	L418	NaN	NaN	VERBALRESP_LOGO
139.989	0	L418	NaN	NaN	KEYRESP_LOGO
143.077	0	L301	1	2	STIM_LOGO
144.077	5	L301	1	2	RETENTION_LOGO
149.077	0	L301	NaN	NaN	VERBALRESP_LOGO
153.841	0	L301	NaN	NaN	KEYRESP_LOGO
157.077	0	L237	0	2	STIM_LOGO
158.077	5	L237	0	2	RETENTION_LOGO
163.077	0	L237	NaN	NaN	VERBALRESP_LOGO
167.254	0	L237	NaN	NaN	KEYRESP_LOGO
173.077	0	L422	0	2	STIM_LOGO
174.077	5	L422	0	2	RETENTION_LOGO
179.077	0	L422	NaN	NaN	VERBALRESP_LOGO
182.698	0	L422	NaN	NaN	KEYRESP_LOGO
187.077	0	L318	1	2	STIM_LOGO
188.077	5	L318	1	2	RETENTION_LOGO
