onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.023	0	L205	2	2	STIM_LOGO
3.023	5	L205	2	2	RETENTION_LOGO
8.023	0	L205	NaN	NaN	VERBALRESP_LOGO
11.915	0	L205	NaN	NaN	KEYRESP_LOGO
15.04	0	L2	2	2	STIM_LOGO
16.04	5	L2	2	2	RETENTION_LOGO
21.04	0	L2	NaN	NaN	VERBALRESP_LOGO
24.924	0	L2	NaN	NaN	KEYRESP_LOGO
33.04	0	L219	1	2	STIM_LOGO
34.04	5	L219	1	2	RETENTION_LOGO
39.04	0	L219	NaN	NaN	VERBALRESP_LOGO
42.87	0	L219	NaN	NaN	KEYRESP_LOGO
51.04	0	L139	1	2	STIM_LOGO
52.04	5	L139	1	2	RETENTION_LOGO
57.04	0	L139	NaN	NaN	VERBALRESP_LOGO
61.143	0	L139	NaN	NaN	KEYRESP_LOGO
63.04	0	L407	0	1	STIM_LOGO
64.04	5	L407	0	1	RETENTION_LOGO
69.04	0	L407	NaN	NaN	VERBALRESP_LOGO
72.998	0	L407	NaN	NaN	KEYRESP_LOGO
80.04	0	L305	1	2	STIM_LOGO
81.04	5	L305	1	2	RETENTION_LOGO
86.04	0	L305	NaN	NaN	VERBALRESP_LOGO
89.949	0	L305	NaN	NaN	KEYRESP_LOGO
92.04	0	L208	0	1	STIM_LOGO
93.04	5	L208	0	1	RETENTION_LOGO
98.04	0	L208	NaN	NaN	VERBALRESP_LOGO
102.276	0	L208	NaN	NaN	KEYRESP_LOGO
108.04	0	L221	2	2	STIM_LOGO
109.04	5	L221	2	2	RETENTION_LOGO
114.041	0	L221	NaN	NaN	VERBALRESP_LOGO
118.111	0	L221	NaN	NaN	KEYRESP_LOGO
121.04	0	L267	1	2	STIM_LOGO
122.041	5	L267	1	2	RETENTION_LOGO
127.041	0	L267	NaN	NaN	VERBALRESP_LOGO
130.976	0	L267	NaN	NaN	KEYRESP_LOGO
136.041	0	L144	1	2	STIM_LOGO
